Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,98.059998,101.5,95.800003,98.5,9598200,98.5
2016-01-05,99.18,103.800003,98.760002,100.860001,6154700,100.860001
2016-01-06,97.440002,105.93,97.400002,102.400002,10380200,102.400002
2016-01-07,100.120003,102.25,95.93,97.389999,6377600,97.389999
2016-01-08,99.050003,99.269997,90.550003,91.059998,7874000,91.059998
2016-01-11,92.040001,92.989998,82.830002,85.449997,9928300,85.449997
2016-01-12,86.019997,89.309998,84.75,87.910004,6493000,87.910004
2016-01-13,88.830002,90.5,84.620003,85.540001,4975000,85.540001
2016-01-14,85.639999,91.209999,82.099998,89.769997,5001900,89.769997
2016-01-15,85.5,89.400002,84.760002,88.699997,7614800,88.699997
2016-01-19,90.029999,90.739998,86.419998,88.980003,4061500,88.980003
2016-01-20,86.099998,92.260002,83.849998,89.349998,5863900,89.349998
2016-01-21,89.57,92.610001,88.309998,90.269997,3171500,90.269997
2016-01-22,92.800003,93.720001,87.839996,88.599998,3919400,88.599998
2016-01-25,88.0,95.800003,87.550003,92.629997,5658300,92.629997
2016-01-26,92.150002,99.449997,91.809998,98.57,8792400,98.57
2016-01-27,96.650002,99.449997,93.650002,94.43,5597500,94.43
2016-01-28,94.629997,95.809998,85.599998,86.120003,7920400,86.120003
2016-01-29,87.32,91.589996,87.18,90.220001,6444300,90.220001
2016-02-01,88.730003,96.419998,87.870003,95.650002,6153900,95.650002
2016-02-02,93.550003,101.400002,89.029999,91.449997,14245300,91.449997
2016-02-03,92.68,94.389999,87.330002,94.190002,6209900,94.190002
2016-02-04,92.809998,100.629997,92.449997,96.940002,7561000,96.940002
2016-02-05,96.489998,98.5,95.010002,96.589996,6103200,96.589996
2016-02-08,93.029999,94.300003,87.629997,89.629997,5316000,89.629997
2016-02-09,87.900002,91.940002,84.139999,86.949997,6729600,86.949997
2016-02-10,88.25,91.339996,85.260002,85.959999,4484300,85.959999
2016-02-11,83.760002,85.129997,79.620003,83.440002,7128500,83.440002
2016-02-12,85.720001,89.07,85.150002,88.389999,5312400,88.389999
2016-02-16,90.489998,91.379997,86.599998,91.260002,3870300,91.260002
2016-02-17,92.190002,96.620003,91.0,94.650002,4511500,94.650002
2016-02-18,92.949997,95.900002,91.709999,94.110001,4640900,94.110001
2016-02-19,90.480003,92.43,84.610001,84.989998,14770700,84.989998
2016-02-22,86.5,86.550003,72.43,75.919998,31649000,75.919998
